store_nbr,item_nbr,date,id,unit_sales,onpromotion,year,month,day,day_of_week,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,dcoilwtico,dcoilwtico_lag1,is_perishable,is_holiday,transactions,dcoilwtico_rolling7
24,105574,2013-01-02,18790.0,12.0,0,2013,1,2,2,0,,,,,,93.14,,0,0,2605,
24,105574,2013-01-03,59692.0,1.0,0,2013,1,3,3,0,12.0,,,,,92.97,93.14,0,0,2462,
24,105574,2013-01-04,99664.0,3.0,0,2013,1,4,4,0,1.0,,,,,93.12,92.97,0,0,2607,
24,105574,2013-01-05,140805.0,4.0,0,2013,1,5,5,1,3.0,,,,,93.2,93.12,0,1,2578,
24,105574,2013-01-06,182800.0,7.0,0,2013,1,6,6,1,4.0,,,,,93.2,93.2,0,0,2061,
24,105574,2013-01-07,223895.0,3.0,0,2013,1,7,0,0,7.0,,,,,93.2,93.2,0,0,2320,
24,105574,2013-01-08,263107.0,3.0,0,2013,1,8,1,0,3.0,,,,,93.21,93.2,0,0,2349,
24,105574,2013-01-09,302232.0,7.0,0,2013,1,9,2,0,3.0,12.0,,4.714285714285714,3.6839419880650364,93.08,93.21,0,0,2354,93.14857142857143
24,105574,2013-01-10,341031.0,3.0,0,2013,1,10,3,0,7.0,1.0,,4.0,2.23606797749979,93.81,93.08,0,0,2226,93.14
24,105574,2013-01-11,379570.0,6.0,0,2013,1,11,4,0,3.0,3.0,,4.285714285714286,1.889822365046136,93.6,93.81,0,0,2350,93.25999999999999
24,105574,2013-01-12,419992.0,7.0,0,2013,1,12,5,1,6.0,4.0,,4.714285714285714,1.889822365046136,94.27,93.6,0,1,2346,93.32857142857142
24,105574,2013-01-13,461982.0,1.0,0,2013,1,13,6,1,7.0,7.0,,5.142857142857143,2.0354009783964293,94.27,94.27,0,0,2001,93.48142857142855
24,105574,2013-01-14,503263.0,2.0,0,2013,1,14,0,0,1.0,3.0,,4.285714285714286,2.3603873774083297,94.27,94.27,0,0,2341,93.63428571428572
24,105574,2013-01-15,542633.0,3.0,0,2013,1,15,1,0,2.0,3.0,,4.142857142857143,2.4784787961282104,93.26,94.27,0,0,2338,93.78714285714285
24,105574,2013-01-16,582439.0,19.0,0,2013,1,16,2,0,3.0,7.0,,4.142857142857143,2.4784787961282104,94.28,93.26,0,0,2555,93.79428571428572
24,105574,2013-01-17,622074.0,7.0,0,2013,1,17,3,0,19.0,3.0,,5.857142857142857,6.175990377490653,95.49,94.28,0,0,2557,93.96571428571428
24,105574,2013-01-18,661498.0,8.0,0,2013,1,18,4,0,7.0,6.0,,6.428571428571429,6.051367417290708,95.61,95.49,0,0,2559,94.2057142857143
24,105574,2013-01-19,702769.0,5.0,0,2013,1,19,5,1,8.0,7.0,,6.714285714285714,6.074928962939558,95.61,95.61,0,0,2487,94.49285714285715
24,105574,2013-01-20,745653.0,3.0,0,2013,1,20,6,1,5.0,1.0,,6.428571428571429,6.106202935189288,95.61,95.61,0,0,1908,94.68428571428572
24,105574,2013-01-21,787427.0,4.0,0,2013,1,21,0,0,3.0,2.0,,6.714285714285714,5.851332774513447,95.61,95.61,0,0,2391,94.87571428571427
